eDRX_IDLE cycle andeDRX_INACTIVE cycle length [s],RAN DRX cycle length [s],eDRX INACTIVE PTW length [s] (number of 1.28 s periods),"Tdetect,NR_Inter_RedCap_Relax [s] (number of DRX or eDRX INACTIVE cycles)","Tmeasure,NR_Inter_RedCap_Relax [s] (number of DRX or eDRX INACTIVE cycles)","Tevaluate,NR_Inter_RedCap_Relax [s] (number of DRX or eDRX INACTIVE cycles)"
20.48≤eDRX_IDLE cycle length ≤163.8420.48 ≤eDRX_INACTIVE cycle length ≤ 163.84,0.32,≥1.28 (1),(23 x Kx)eDRXcyclelength×23PTWDRXcyclelength×Kx,0.32 x 1.5 x Kx (1 x 1.5 x Kx),0.64 x 1.5 x Kx (2 x 1.5)
,0.64,≥1.28 (1),,0.64 x Kx (1 x Kx),1.28 x Kx (2 x Kx)
,1.28,≥2.56 (2),,1.28 x Kx (1 x Kx),2.56 x Kx (2 x Kx)
,2.56,≥5.12 (4),,2.56 x Kx (1 x Kx),5.12 x Kx (2 x Kx)
"NOTE 1:RAN DRX cycle in this table is UE specific DRX value configured by RRC specified in [1].NOTE 2:The number of RAN DRX cycles in this table is given for the DRX cycles within RAN configured PTWs.NOTE 3:eDRX INACTIVE PTW in this table is RAN configured PTW [1].NOTE 4:The number of DRX cycles in this table is given for the DRX cycles within RAN PTWs.NOTE 5:The eDRX_INACTIVE cycle lengths are as specified in section 10.5.5.32 of TS 24.008 [42].NOTE 6:The lower bound of PTW length is derived based on .NOTE 7:Kx = 6 is the measurement relaxation factor applicable for UE fulfilling the stationaryMobilityEvaluation [2] criterion. Kx = 3 is the measurement relaxation factor applicable for UE fulfilling the lowMobilityEvaluation [2] criterion or fulfilling the cellEdgeEvaluation [2] criterion.Tevaluate,NR_Inter_RedCap*DRX_cycle1.28*1.28",,,,,
