eDRX_IDLE cycle and eDRX INACTIVE cycle length [s],RANDRX cycle length [s],eDRX INACTIVEPTW length [s] (number of 1.28 s periods),"Tdetect,NR_Intra [s] (number of RAN DRX cycles)","Tmeasure,NR_Intra [s] (number of RAN DRX cycles Note 3)","Tevaluate,NR_Intra [s] (number of RAN DRX cycles Note 3)"
20.48 ≤ eDRX_IDLE cycle length ≤10485.7620.48 ≤ eDRX_INACTIVE cycle length ≤10485.76,0.32,≥[1.28] ([1]),(23)eDRX_cycle_length×23PTW/DRX_cycle_length,0.32 x M2 (1 x M2),0.64 x M2 (2 x M2)
,0.64,≥[1.28] ([1]),,0.64 (1),1.28 (2)
,1.28,≥[2.56] ([2]),,1.28 (1),2.56 (2)
,2.56,≥[5.12] ([4]),,2.56 (1),5.12 (2)
"NOTE 1: RAN DRX cycle in this table is UE specific DRX value configured by RRC specified in [1].NOTE 2:The number of RAN DRX cycles in this table is given for the DRX cycles within RAN configured PTWs.NOTE 3: eDRX INACTIVE PTW in this table is RAN configured PTW.NOTE 4:The eDRX_IDLE cycle lengths are as specified in section 10.5.5.32 of TS 24.008 [42].NOTE 5: The lower bound of PTW length is derived based on .NOTE 6:M2 = 2 if SMTC periodicity of measured intra-frequency cell > 20 ms; otherwise M2=1.Tevaluate,NR_Intra*DRX_cycle1.28*1.28",,,,,
