Frequency Range,SCS of SSB signals (kHz),SCS of uplink signals (kHz),Te_NTN,
FR1-NTN,15,15,29*64*Tc,
,,30,24*64*Tc,
,,60,N/A,
,30,15,24*64*Tc,
,,30,22*64*Tc,
,,60,N/A,
NOTE 1:Tc is the basic timing unit defined in TS 38.211 [6],,,,
