Frequency Range,,Maximum uplink transmission timing difference (µs)
Cell in MCG,Cell in SCG,
FR1,FR1,34.6
FR2-1,FR2-1,8.5
FR1,FR2-1,34.1
FR1,FR2-2,34.1
