Frequency Range of the pair of TAGs,Maximum uplink transmission timing difference (µs)
FR1,CP lengthnote 1+1.6us
FR2-1,CP lengthnote 1+0.5us
NOTE 1:CP length of the maximum SCS on the carrier.NOTE 2:This requirement applies to the UE capable of [STxMP].,
