eDRX_IDLE cycle length [s],"Tdetect,NR_Intra_RedCap_Relax [s] (number of eDRX IDLE cycles)","Tmeasure,NR_Intra_RedCap_Relax [s] (number of eDRX IDLE cycles)","Tevaluate,NR_Intra_RedCap_Relax [s] (number of eDRX IDLE cycles)"
,,,
2.56,58.88 x N1 x K1 (23 x N1 x K1),2.56 x N1 x K1 (1 x K1),7.68 x N1 x K1 (3 x N1 x K1)
5.12,117.76 x N1 x K1 (23 x N1 x K1),5.12 x N1 x K1 (1 x N1 x K1),10.24 x N1 x K1 (2 x N1 x K1)
10.24,235.52 x N1 x K1 (23 x N1 x K1),10.24 x N1 x K1 (1 x N1 x K1),20.48 x N1 x K1 (2 x N1 x K1)
NOTE 1:Void.NOTE 2:N1 = 3 for RedCap UE of all supporting FR2 power classes.NOTE 3:K1 = 3 is the measurement relaxation factor applicable for UE fulfilling the cellEdgeEvaluation [2] criterion.,,,
