Frequency range and band of cell used for uplink transmission,(Unit: TC)NTA offset
FR2-NTN,0
"Note 1:The UE identifies  based on the information n-TimingAdvanceOffset as specified in TS 38.331 [2]. If UE is not provided with the information n-TimingAdvanceOffset, the default value of  is set as 0 for FR2-NTN band.NTA offsetNTA offset",
