eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 1.28 s periods),"Tdetect,NR_Inter [s] (number of DRX cycles or eDRX cycles Note 3)","Tmeasure,NR_Inter [s] (number of DRX cycles or eDRX cycles Note 3)","Tevaluate,NR_Inter [s] (number of DRX cycles or eDRX cycles Note 3)"
,,,,,
2.56,-,-,58.88 (23),2.56 (1),7.68 (3)
5.12,-,-,117.76 (23),5.12 (1),10.24 (2)
10.24,-,-,235.52 (23),10.24 (1),20.48 (2)
20.48 ≤  eDRX_IDLE cycle length ≤10485.76,0.32,≥1.28 (1),(23)eDRX_cycle_length×23PTW/DRX_cycle_length,0.32 x 1.5 (1 x 1.5),0.64 x 1.5 (2 x 1.5)
,0.64,≥1.28 (1),,0.64 (1),1.28 (2)
,1.28,≥2.56 (2),,1.28 (1),2.56 (2)
,2.56,≥5.12 (4),,2.56 (1),5.12 (2)
"NOTE 1:The number of DRX cycles in this table corresponds to the DRX cycles within PTWs, when PTW is configured.NOTE 2:The eDRX_IDLE cycle lengths are as specified in section 10.5.5.32 of TS 24.008 [42].NOTE 3:Number of eDRX cycles when eDRX_IDLE cycle length equals 2.56 s, 5.12 s and 10.24 s. Otherwise, number of DRX cycles.NOTE 4:The lower bound of PTW length is derived based on .Tevaluate,NR_Inter*DRX_cycle1.28*1.28",,,,,
