eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 1.28 s periods),Scaling Factor (N1) Note1,Nserv_RedCap [number of DRX or eDRX cycles Note 4]
2.56,N/A,N/A,3,N1*2
5.12,N/A,N/A,3,N1*2
10.24,N/A,N/A,3,N1*2
20.48 ≤ eDRX_IDLE cycle length ≤10485.76,0.32,≥5.12 (4),8,N1*2
,0.64,≥6.4 (5),5,N1*2
,1.28,≥10.24 (8),4,N1*2
,2.56,≥15.36 (12),3,N1*2
"NOTE 1: Applies for RedCap UE of all FR2 power class.NOTE 2: The number of DRX cycles in this table corresponds to the DRX cycles within PTWs, when PTW is configured.NOTE 3: The eDRX_IDLE cycle lengths are as specified in section 10.5.5.32 of TS 24.008 [42].NOTE 4: Number of eDRX cycles when eDRX_IDLE cycle length equals 2.56 s, 5.12 s and 10.24 s. Otherwise, number of DRX cycles.NOTE 5: The lower bound of PTW length is derived based on .NOTE 6: When eDRX=20.48 s and DRX=0.32 s, UE is allowed to perform cell evaluation within PTW in every 2 eDRX cycles.Nserv_RedCap *DRX_cycle1.28*1.28",,,,
