Frequency Range,SCS of SSB signals (kHz),SCS of uplink signals (kHz),Te,
1,15,15,12*64*Tc,
,,30,10*64*Tc,
,,60,10*64*Tc,
,30,15,8*64*Tc,
,,30,8*64*Tc,
,,60,7*64*Tc,
2,120,60,3.5*64*Tc,
,,120,3.5*64*Tc,
,240,60,3*64*Tc,
,,120,3*64*Tc,
NOTE 1:Tc is the basic timing unit defined in TS 38.211 [6],,,,
