Sub-carrier spacing in PCell (kHz),UL Sub-carrier spacing for data in E-UTRA PSCell (kHz),Maximum uplink transmission timing difference (µs)
15,15,500
30,15,250
60,15,125
120,15,62.5
NOTE 1:Void,,
