FR of target NR cell,Tidentify-NR
FR1,"MAX (680 ms, [12] x Trs)"
"NOTE:If the UE has been provided with higher layer signalling of smtc2 specified in TS 38.331 [2] prior to the redirection command, Trs follows smtc1 or smtc2 according to the physical cell ID of the target cell.",
