,NR Slot length (ms),"Tinterrupt1 (slotsNote 1), synchronous DAPS HO","Tinterrupt1 (slotsNote 1), asynchronous DAPS HO"
0,1,"1 + TSMTC_duration * Nslotsubframe,μ","2+ TSMTC_duration * Nslotsubframe,μ"
1,0.5,"2 + TSMTC_duration * Nslotsubframe,μ","3+ TSMTC_duration * Nslotsubframe,μ"
2,0.25,"4 + TSMTC_duration * Nslotsubframe,μ","5+ TSMTC_duration * Nslotsubframe,μ"
"NOTE 1:The same SCS of source cell and target cell is assumed.NOTE 2:TSMTC_duration measured in subframes is the longest SMTC duration between source cell and target cell.NOTE 3:VoidNOTE 4: is as defined in TS 38.211 [6].Nslotsubframe,μ",,,
