Parameter,Unit,Cell 2 (HRPD),,
,,T1,T2,T3
(38.4 kbps),dB,21,,
(76.8 kbps),dB,18,,
,dB,-infinity,0,0
,dBm/1.2288 MHz,-55,,
CDMA2000 HRPD Pilot Strength,dB,-infinity,-3,-3
Propagation Condition,,AWGN,,
