Clause,Test case slogan
NB-IoT NTN,
A.13.1.1.1,HD – FDD Intra frequency case for UE Category NB1 Standalone mode in normal coverage
A.13.1.1.2,HD – FDD Intra frequency case for UE Category NB1 Standalone mode in normal coverage with serving cell RRM measurement relaxation
A.13.1.1.3,HD – FDD Intra frequency case for UE Category NB1 Standalone mode in normal coverage with UE specific DRX
A.13.3.1.1,HD-FDD Intra-frequency RRC Re-establishment for UE category NB1 in Standalone mode under normal coverage
A.13.3.1.2,HD-FDD Intra-frequency RRC Re-establishment for UE category NB1 in Standalone mode under enhanced coverage
A.13.3.2.1,Contention Based Random Access Test for UE category NB1 UEs in Satellite Access - Standalone mode in normal coverage
A.13.3.2.2,Contention Based Random Access Test for UE category NB1 UEs in Satellite Access - Standalone mode in Enhanced Coverage
A.13.3.2.3,Contention Based Random Access on Non-anchor Carrier Test for UE category NB1 UEs Standalone mode in Enhanced Coverage
A.13.4.1.1,E-UTRAN HD-FDD – UE Transmit Timing Accuracy Tests for Category NB1 UE Standalone mode under normal coverage for Satellite Access
A.13.4.1.2,E-UTRAN HD-FDD – UE Transmit Timing Accuracy Tests for Category NB1 UE Standalone mode under enhanced coverage for Satellite Access
A.13.4.1.3,E-UTRAN HD-FDD – UE Transmit Timing Accuracy Tests for Category NB1 UE Standalone mode under enhanced coverage with segment transmission in NGSO for Satellite Access
A.13.4.2.1,HD-FDD UE Timing Advance Adjustment Accuracy Test for UE Category NB1 in Standalone Mode under Normal Coverage for Satellite Access
A.13.4.3.1,HD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category NB1 Standalone mode in normal coverage
A.13.4.3.2,HD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category NB1 Standalone mode in enhanced coverage
A.13.4.3.3,HD-FDD Radio Link Monitoring Test for In-sync with DRX for UE Category NB1 Standalone mode in Enhanced Coverage
A.13.4.3.4,HD-FDD Radio Link Monitoring Test for In-sync with DRX for UE Category NB1 Standalone mode in Normal Coverage
A.13.4.3.5,HD-FDD Radio Link Monitoring Test for In-sync without DRX for UE Category NB1 Standalone mode in Normal Coverage
A.13.4.3.6,HD-FDD Radio Link Monitoring Test for In-sync without DRX for UE Category NB1 Standalone mode in Enhanced Coverage
A.13.4.3.7,HD-FDD Radio Link Monitoring Test for Out-of-sync without DRX for UE Category NB1 Standalone mode in Normal Coverage
A.13.4.3.8,HD-FDD Radio Link Monitoring Test for Out-of-sync without DRX for UE Category NB1 Standalone mode in Enhanced Coverage
A.13.6.2.1,E-UTRAN HD-FDD Downlink channel quality reporting accuracy for UE Category NB1 Standalone mode under normal coverage
A.13.6.2.2,E-UTRAN HD-FDD Downlink channel quality reporting accuracy for UE Category NB1 Standalone mode under enhanced coverage
A.13.6.2.3,E-UTRAN HD-FDD Downlink channel quality reporting accuracy on non-anchor carrier for UE Category NB1 Standalone mode under normal coverage
A.13.6.2.4,E-UTRAN HD-FDD Downlink channel quality reporting accuracy on non-anchor carrier for UE Category NB1 Standalone mode under enhanced coverage
A.13.6.2.5,E-UTRAN HD-FDD Downlink channel quality reporting accuracy in RRC_CONNECTED for UE Category NB1 Standalone mode under normal coverage
A.13.6.2.6,E-UTRAN HD-FDD Downlink channel quality reporting accuracy in RRC_CONNECTED for UE Category NB1 Standalone mode under enhanced coverage
eMTC NTN,
A.14.1.1.1,E-UTRAN FDD – FDD Intra frequency case for Cat-M1 UE in normal coverage
A.14.1.1.2,E-UTRAN HD – FDD Intra frequency case for Cat-M1 UE in normal coverage
A.14.1.1.3,E-UTRAN FDD – FDD Intra frequency case for Cat-M1 UE in normal coverage with serving cell RRM measurement relaxation
A.14.1.1.4,E-UTRAN HD – FDD Intra frequency case for Cat-M1 UE in normal coverage with serving cell RRM measurement relaxation
A.14.2.1.1,E-UTRAN FDD-FDD Intra frequency handover for Cat-M1 UEs in CEModeA without SFN acquisition
A.14.2.1.2,E-UTRAN HD-FDD Intra frequency handover for Cat-M1 UEs in CEModeA without SFN acquisition
A.14.2.1.3,E-UTRAN FDD-FDD Intra frequency conditional handover for Cat-M1 UEs in CEModeA
A.14.2.1.4,E-UTRAN HD-FDD Intra frequency conditional handover for Cat-M1 UEs in CEModeA
A.14.3.1.1,E-UTRAN FD-FDD Intra-frequency RRC Re-establishment for Cat-M1 UE in CEModeA for Satellite access
A.14.3.1.2,E-UTRAN HD-FDD Intra-frequency RRC Re-establishment for Cat-M1 UE in CEModeA
A.14.3.2.1,E-UTRAN FDD Contention Based Random Access Test for Cat-M1 UEs in Normal Coverage for satellite access
A.14.3.2.2,E-UTRAN HD-FDD Contention Based Random Access Test for Cat-M1 UEs in Normal Coverage for satellite access
A.14.3.2.3,E-UTRAN FDD Contention Based Random Access Test for Cat-M1 UEs in Enhanced Coverage for satellite access
A.14.3.2.4,E-UTRAN HD-FDD Contention Based Random Access Test for Cat-M1 UEs in Enhanced Coverage for satellite access
A.14.4.1.1,E-UTRAN FDD – UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeA
A.14.4.1.2,E-UTRAN HD-FDD – UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeA
A.14.4.1.3,E-UTRAN FDD – UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeB
A.14.4.1.4,E-UTRAN HD-FDD – UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeB
A.14.4.1.5,E-UTRAN HD-FDD – UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeB with segment transmission in NGSO for Satellite Access
A.14.4.2.1,E-UTRAN FDD Timing Advance Adjustment Accuracy Test for Cat-M1 UE in CEModeA
A.14.4.2.2,E-UTRAN HD-FDD UE Timing Advance Adjustment Accuracy Test for Cat-M1 UE in CEModeA
A.14.4.2.3,E-UTRAN FDD UE Timing Advance Adjustment Accuracy Test in CEModeB
A.14.4.2.4,E-UTRAN HD-FDD UE Timing Advance Adjustment Accuracy Test in CEModeB
A.14.4.3.1,E-UTRAN FD-FDD Radio Link Monitoring Test for Out-of-sync for Cat-M1 UE in CEMode A for Satellite access
A.14.4.3.2,E-UTRAN FD-FDD Radio Link Monitoring Test for In-Sync for Cat-M1 UE in CEMode A for Satellite access
A.14.4.3.3,E-UTRAN HD-FDD Radio Link Monitoring Test for Out-of-sync for Cat-M1 UE in CEMode A for Satellite access
A.14.4.3.4,E-UTRAN HD-FDD Radio Link Monitoring Test for In-Sync for Cat-M1 UE in CEMode A for Satellite access
A.14.4.3.5,E-UTRAN FD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category M1 configured in CEMode A
A.14.4.3.6,E-UTRAN FD-FDD Radio Link Monitoring Test for In-sync in DRX for UE Category M1 configured in CEMode A
A.14.4.3.7,E-UTRAN HD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category M1 configured in CEMode A
A.14.4.3.8,E-UTRAN HD-FDD Radio Link Monitoring Test for In-sync in DRX for UE Category M1 configured in CEMode A
A.14.5.1.1,E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for Cat-M1 UE in CEModeA
A.14.5.1.2,E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeA in DRX
A.14.5.1.3,E-UTRAN HD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for Cat-M1 UE in CEModeA
A.14.5.1.4,E-UTRAN HD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeA in DRX
A.14.6.1.1,FD-FDD RSRP Intra frequency case for Cat-M1 UE in CEModeA
A.14.6.1.2,HD-FDD RSRP Intra frequency case for Cat-M1 UE in CEModeA
A.14.6.2.1,E-UTRAN FD-FDD Downlink channel quality reporting accuracy for UE Category M1 in CE Mode A for Satellite access
A.14.6.2.2,E-UTRAN HD-FDD Downlink channel quality reporting accuracy for UE Category M1 in CE Mode A for Satellite access
A.14.6.2.3,E-UTRAN HD-FDD Downlink channel quality reporting accuracy for UE Category M1 in CE Mode B for Satellite access
A.14.6.2.4,E-UTRAN HD-FDD Downlink channel quality reporting accuracy for UE Category M1 in CE Mode B for Satellite access
