Allocation,Relative power level  [dB],,,NPDCCH and NPDSCHData
,Subframe,,,
,"0, 5, 9","1, 6Note 5","3, 4, 8Note 3",
0,0 (Note 2),0,0,Note 1
"Note 1:This physical resource block is assigned to a virtual UE for transmission of NPDCCH or NPDSCH; the data transmitted over the NOCNG NPDCCH or NPDSCH shall be uncorrelated QPSK modulated pseudo random data. The parameter is used to scale the power of NPDCCH and NPDSCH.If two transmit antennas with NBRS are used in the test, the NPDCCH and NPDSCH parts of NOCNG shall be transmitted to the virtual users by both transmit antennas with NBRS and according to the antenna transmission mode 2. The parameter applies to each antenna port separately, so the transmit power of the NPDCCH and NPDSCH parts of NOCNG is equal between both the transmit antennas with NBRS used in the test. The antenna transmission modes are specified in clause 7.1 in TS 36.213.Note 2:Value of is applicable to PRBs not used for transmission of NPSS, NSSS and NPBCH in anchor cell (= 0).Note 3:Subframes available for DL transmission depends on the Uplink-Downlink configuration in Table 4.2-2 in TS 36.211 [16].Note 4:SI transmissions, and NPDCCH and NPDSCH for the UE under test, have precedence over NOCNG.Note 5:Whether NPDSCH transmissions are carried out in DwPTS depends on the special subframe configuration in use.",,,,
