Allocation,Relative power level  [dB],,,,PDSCH Data
,Subframe (Note 1),,,,
,0,5,"3, 4, 8, 9 and 6 (as normal subframe) Note 3",1 and 6 (as special subframe) Note 3,
0 – 6,0,0,0,Table A.3.2.2.9-2,Note 2
18 – 24,0,0,0,,
"Note 1:The allocation of any PDSCH with or without SIB1 applies only to the subframes not configured as PRS subframes.Note 2: These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated The parameteris used to scale the power of PDSCH.Note 3: Subframes available for DL transmission depends on the Uplink-Downlink configuration defined in Table 4.2-2 in 3GPP TS 36.211 [16].Note 4: If two or more transmit antennas with CRS are used in the test, the OCNG shall be transmitted to the virtual users by all the transmit antennas with CRS and according to the antenna transmission mode 2. The parameter applies to each antenna port separately, so the transmit power is equal between all the transmit antennas with CRS used in the test. The antenna transmission modes are specified in section 7.1 in 3GPP TS 36.213.",,,,,
