Test case,SNR during T3 (dB)
A.7.3.38 (cell 2),-15.7 (5MHz)-15.7 (10MHz)-16.3 (20 MHz)
A.7.3.39 (cell 2),-15.7 (5MHz)-15.7 (10MHz)-16.3 (20 MHz)
A.7.3.40 (cell 2),-15.4 (5MHz)-15.4 (10MHz)-16.1 (20MHz)
