Parameter,,,Unit,Value,,,,,,,,
Reference channel,,,,R.8 FDD,R.14 FDD,R.11 FDD,R.12 FDD,R.10 FDD,R.13 FDD,R.6 FDD,R.7 FDD,R.9 FDD
Channel bandwidth,,,MHz,1.4,1.4,5,5,20,20,10,10,10
Number of transmitter antennas,,,,1,1,1,2,1,2,1,2,2
Control region OFDM symbolsNote1,,,symbols,4,3,3,3,2,2,2,2,3
Aggregation level,,,CCE,2(Note 6),2 (Note 6),8,8,8,8,8,8,8
DCI Format,,,,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Cell ID,,,,Note 4,Note 4,Note 4,Note 4,Note 4,Note 4,Note 4,Note 4,Note 4
Payload (without CRC),,,Bits,Note 5,Note 5,Note 5,Note 5,Note 5,Note 5,Note 5,Note 5,Note 5
,,"Note 1: The control region consists of PCFICH, PHICH and PDCCH.Note 2: DCI formats are defined in TS 36.212.Note 3: DCI format shall depend upon the test configuration.Note 4: Cell ID shall depend upon the test configuration.Note 5: Payload size shall depend upon the test configuration.Note 6: For PDCCH using SI/RA/P-RNTI, Aggregation level 4 is used.",,,,,,,,,,
