Parameter,,Unit,Value,Comment
Initial condition,Active cell,,Cell1,UE shall be forced to cell 1 in the initialisation phase and shall be able to detect and monitor the 4 strongest GSM BCCH carriers in T1. Cell 1 is an E-UTRA TDD cell.
Final condition,Neighbour cell,,Cell2,UE shall perform reselection to cell 2 during T2. Cell 2 is a GSM cell.
E-UTRA RF Channel Number,,,1,1 E-UTRA TDD carrier frequency
GSM ARFCN,,,1,12 GSM BCCH carriers are used
Uplink-downlink configuration of cell 1,,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration for cell 1,,,6,As specified in table 4.2.1 in TS 36.211
PRACH configuration for cell 1,,,53,As specified in table 5.7.1-3 in TS 36.211
CP length of cell 1,,,Normal,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
DRX cycle length,,s,1.28,The value shall be used for all cells in the test.
T1,,s,35,T1 need to be defined so that cell re-selection reaction time is taken into account.
T2,,s,35,T2 need to be defined so that the higher layer search periodicity and cell re-selection reaction time are taken into account.
Propagation channel,,,AWGN,
