Allocation,Relative power level  [dB],,,,PDSCH Data
,Subframe (Note 1),,,,
,0,5,"4, 9","1 – 3, 6 – 8",
0 – 5,0,0,0,0,Note 2
"Note 1:The allocation of any PDSCH with or without SIB1 applies only to the subframes not configured as PRS subframes.Note 2: These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated pseudo random data, which is QPSK modulated. The parameter  is used to scale the power of PDSCH.Note 3:If two or more transmit antennas with CRS are used in the test, the PDSCH part of OCNG shall be transmitted to the virtual users by all the transmit antennas with CRS and according to the antenna transmission mode 2. The parameter applies to each antenna port separately, so the transmit power of the PDSCH part of OCNG is equal between all the transmit antennas with CRS used in the test. The antenna transmission modes are specified in clause 7.1 in TS 36.213.N/A:Not Applicable",,,,,
