Parameter,Unit,Value,Comment
PDSCH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2.
PCFICH/PDCCH/PHICH parameters(E-UTRAN TDD),,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2.
Active cell,,Cell 1,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,Cell 2,Cell 2 is on UTRA RF channel number 1.
CP length,,Normal,Applicable to cell 1
E-UTRA RF Channel Number,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),MHz,10,
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211
UTRA RF Channel Number,,1,One UTRA FDD carrier frequency is used.
Inter-RAT (UTRA FDD) measurement quantity,,CPICH Ec/Io,
Filter coefficient,,0,L3 filtering is not used.
DRX,,OFF,
UTRA FDD cell list size,,16,UTRA cells on UTRA RF channel 1 provided in the “RRCConnectionRelease” message from the E-UTRAN
T1,s,5,
T2,s,1,
