Parameter,Unit,Cell 1 (E-UTRA),,,,,,
,,T1,T2,,,T3,,
BWchannel,MHz,5,,,,,,
OCNG Patterns defined in A.3.2.1.15 (OP.15 FDD) and in A.3.2.1.16 (OP.16  FDD),,OP.15 FDD,,OP.15 FDD,,,OP.16FDD,
Io Note 2,dBm/4.5 MHz,-70.22,,,-70.22,,,-70.22
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 3:See Table A.5.2.1.1-2 for other cell specific test parameters.,,,,,,,,
