Allocation,Relative power level  [dB],PSCCH and PSSCH Data
,Subframe Note 2,
,0 - 19,
0 – 4,18,Note 1
10–25,18,
"Note 1: These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PSSCH per virtual UE; the data transmitted over the OCNG PSSCHs shall be uncorrelated pseudo random data, which is QPSK modulated. The parameter  is used to scale the power of PSSCH.Note 2: Value of is applicable to subframes not used for V2X sidelink transmissions.",,
