Time phase,Target cell,Requirement for reselection delay (seconds)
T1,Cell 2 (normal performance group),20.5
T2,Cell 3 (reduced performance group),193.3
T3,Cell 4 (reduced performance group),193.3
T4,Cell 1 (normal performance group),20.5
