Parameter,Unit,Value,,,,
Reference channel,,,,,R.0 FS3,
Channel bandwidth,MHz,10,10,10,20,
Number of transmitter antennas,,,,,1,
Control region OFDM symbolsNote1,symbols,,,,2,
Aggregation level,CCE,,,,8,
DCI Format,,,,,Note 3,
Cell ID,,,,,Note 4,
Payload (without CRC),Bits,,,,Note 5,
"Note 1:The control region consists of PCFICH, PHICH and PDCCH.Note 2:DCI formats are defined in TS 36.212.Note 3:DCI format shall depend upon the test configuration.Note 4:Cell ID shall depend upon the test configuration.Note 5:Payload size shall depend upon the test configuration.Note 6:For PDCCH using SI/RA/P-RNTI, Aggregation level 4 is used.Note 7:PCFICH/PDCCH/PHICH allocation applies only to subframes where there is no DRS transmissionNote 8:PCFICH/PDCCH/PHICH are not transmitted in subframes where it is determined that transmission should not occur according to the listen before talk (LBT model).",,,,,,
