Parameter,Unit,Value,Comment
PDSCH parameters (E-UTRAN FDD),,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1.
PCFICH/PDCCH/PHICH parameters (E-UTRAN FDD),,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1.
Active cell,,Cell 1,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,Cell 2,Cell 2 is on UTRA RF channel number 1.
Time offset between cells,ms,3,Asynchronous cells
E-UTRA RF Channel Number,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),MHz,10,
CP length,,Normal,Applicable to cell 1
UTRA RF Channel Number,,1,One UTRA TDD carrier frequency is used.
Filter coefficient,,0,L3 filtering is not used.
DRX,,OFF,
Monitored UTRA TDD cell list size,,none,No explicit neighbour list is provided to the UE
T1,S,5,
T2,S,2,
