Parameter,Unit,Cell 1,
,,T1,T2
BWchannel,MHz,5,
OCNG Patterns defined in A.3.2.1.16 (OP.16 FDD),,OP.16 FDD,
Note 1: See Table A.4.3.1.2.1-2 for the other parameters.,,,
