Parameter,Unit,Value,Comment
PDSCH parameters (E-UTRAN FDD),,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1.
PCFICH/PDCCH/PHICH parameters(E-UTRAN FDD),,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1.
Active cell,,Cell 1,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,Cell 2,Cell 2 is on Absolute RF Channel Number 1 (GSM cell)
CP length,,Normal,Applicable to cell 1
E-UTRA RF Channel Number,,1,One E-UTRA FDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),MHz,10,
DRX,,OFF,
Monitored GSM cell list size,,6 GSM neighbour including ARFCN 1,Only the list of GERAN carrier frequencies is provided in the “RRCConnectionRelease” message.
T1,s,≤5,
T2,s,4,
