Allocation,Relative power level  [dB],,,PDSCHData,NPDCCH and NPDSCHData
,Subframe,,,,
,"0, 4","5, 9","1-3, 6-8",,
0 – 24,0,0,0,Note 1,N/A
25,0 (Note 3),0 (Note 3),0,N/A,Note 2
"Note 1:These physical resource blocks are assigned to an arbitrary number of virtual UEs with one PDSCH per virtual UE; the data transmitted over the OCNG PDSCHs shall be uncorrelated QPSK modulated pseudo random data. The parameter is used to scale the power of PDSCH.If two or more transmit antennas with CRS are used in the test, the PDSCH part of OCNG shall be transmitted to the virtual users by all the transmit antennas with CRS and according to the antenna transmission mode 2. The parameter applies to each antenna port separately, so the transmit power of the PDSCH part of OCNG is equal between all the transmit antennas with CRS used in the test. The antenna transmission modes are specified in clause 7.1 in TS 36.213.Note 2:This physical resource block is assigned to a virtual UE for transmission of NPDCCH or NPDSCH; the data transmitted over the NOCNG NPDCCH or NPDSCH shall be uncorrelated QPSK modulated pseudo random data. The parameter is used to scale the power of NPDCCH and NPDSCH.If two transmit antennas with NBRS are used in the test, the NPDCCH and NPDSCH parts of NOCNG shall be transmitted to the virtual users by both transmit antennas with NBRS and according to the antenna transmission mode 2. The parameter applies to each antenna port separately, so the transmit power of the NPDCCH and NPDSCH parts of NOCNG is equal between both the transmit antennas with NBRS used in the test. The antenna transmission modes are specified in clause 7.1 in TS 36.213.Note 3:Value of is applicable to PRBs not used for transmission of NPSS, NSSS and NPBCH in anchor cell (= 25).Note 4:SI transmissions, and NPDCCH and NPDSCH for the UE under test, have precedence over OCNG and NOCNG.N/A:Not Applicable",,,,,
