Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,"1,2,3",1: Cell 1 and Cell 32: Cell 2,Two FR1 carrier frequencies are used for the NR cells.
Active cell,,"1,2,3",NR Cell 1 (PCell),Cell 1 is the PCell and the DL-AoD reference cell in the positioning assistance data.
Neighbour cell,,"1,2,3","NR Cell 2, NR cell 3",Cell 2 is an inter-frequency cell neighbor cellCell 3 is an intra-frequency  neighbour cell in the positioning assistance data.
Gap Pattern Id,,"1,2,3",0 for MeasGapId #124 for MeasGapId #2,
Measurement gap offset,ms,"1,2,3",19 for MeasGapId #121 for MeasGapId #2,
A3-Offset,dB,"1, 2, 3",-9,
Hysteresis,dB,"1, 2, 3",0,
DRX,,"1, 2, 3",NA,OFF
Time offset between serving and neighbour cells,s,"1, 2, 3",3,Synchronous cells
Expected RSTD,s,"1, 2, 3",3,
Expected RSTD uncertainty,s,"1, 2, 3",5,
T1,s,"1, 2, 3",2,
T2,s,"1, 2, 3",5,
"NOTE 1:GP#24 is configured if UE supports MG#24, otherwise GP#1 is configured.",,,,
