Parameter,Unit,Value,Comment
Active cell,,Cell 1,PCell
Neighbour cell,,Cell 2,Cell to be identified.
Activated SCell,,Cell 3,Activated throughout the test.
RF Channel Number,,1: Cell 1 and Cell 22: Cell 3,1: Cell 1 is PCell and neighbour cell to be detected
SSB configuration,,SSB.1 FR1,Cell 1 and Cell 2
,,SSB.23 FR1,Cell 3
SMTC configuration,,SMTC.2,Cell 1 and Cell 2
,,SMTC.14,Cell 3
A3-Offset,dB,-4.5,
A6-Offset,dB,-4.5,
CP length,,Normal,
Hysteresis,dB,0,For both A3 and A6 events
Time To Trigger,s,0,For both A3 and A6 events
Filter coefficient,,0,L3 filtering is not used for both A3 and A6 events
DRX,,,OFF
measCycleSCell,ms,160ms,
Time offset between cells,,3 s,MRTD between Cell 1 and Cell 3
,,33µs,MRTD between cell 1 and 2
T1,s,5,
T2,s,5,
THARQ,ms,2,"2k1NR slot lengthk1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k should be the minimum value defined in TS 38.213 [3] that will meet the timing constraints of this test case×"
