Configuration,Description
1,"15 kHz SSB  and PRS SCS, 20 MHz bandwidth, FDD duplex mode"
2,"15 kHz SSB and PRS SCS, 20 MHz bandwidth, TDD duplex mode"
3,"30 kHz SSB and PRS SCS, 50 MHz bandwidth, TDD duplex mode"
Note:The UE is only required to be tested in one of the supported test configurations.,
