Parameter,,Config,Unit,Test 1,Test 2
Note2,NR_TDD_FR1_A NOTE 5,1,dBm/15 kHz,-101,-114
,NR_TDD_FR1_C,,,,-113
,NR_TDD_FR1_D,,,,-112.5
,NR_TDD_FR1_E,,,,-112
Note2,NR_TDD_FR1_A NOTE 5,1,dBm/SRS SCS,-98,-111
,NR_TDD_FR1_C,,,,-110
,NR_TDD_FR1_D,,,,-109.5
,NR_TDD_FR1_E,,,,-109
on SRS,,1,dB,1,1
SRS RSRP Note3,NR_TDD_FR1_A NOTE 5,1,dBm/SRS SCS,-97,-110
,NR_TDD_FR1_C,,,,-109
,NR_TDD_FR1_D,,,,-108.5
,NR_TDD_FR1_E,,,,-108
Io Note3,NR_TDD_FR1_A NOTE 5,1,dBm/98.28 MHz,-59.31,-72.31
,NR_TDD_FR1_C,,,,-71.31
,NR_TDD_FR1_D,,,,-70.81
,NR_TDD_FR1_E,,,,-70.31
on SRS,,1,dB,1,1
Propagation condition,,1,,AWGN,AWGN
Antenna configuration,,1,,1x2,1x2
SRS configuration,,1,,SRSConf.1,SRSConf.1
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of the test.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5: The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.,,,,,
