Parameter,Unit,Test configuration,Value,Comment
,,,,
Active cell,,"1, 2, 3",Cell 1,
Deactivated SCell,,"1A, 2A, 3A",Cell 2,
Neighbour cell,,"1A, 2A, 3A",Cell 3,Cell to be identified.
RF Channel Number,,"1, 2, 3",1: Cell 1 2: Cell 2 and 3,
SSB configuration,,1,SSB.1 FR1,
,,2,SSB.1 FR1,
,,3,SSB.2 FR1,
OD-SSB configuration,,1A,SSB.15 FR1,
,,2A,SSB.15 FR1,
,,3A,SSB.18 FR1,
SMTC configuration,,1A,SMTC.2,
,,2A,SMTC.1,
,,3A,SMTC.1,
OD-SMTC configuration,,1A,SMTC.8,
,,2A,SMTC.8,
,,3A,SMTC.8,
A6-Offset,dB,"1, 2, 3",-4.5,
CP length,,"1, 2, 3",Normal,
Hysteresis,dB,"1, 2, 3",0,
Time To Trigger,s,"1, 2, 3",0,
Filter coefficient,,"1, 2, 3",0,L3 filtering is not used
DRX,,"1, 2, 3",,OFF
Time offset between serving and neighbour cells,,1,3 ms,Asynchronous cells.The timing of Cell 3 is 3 ms later than the timing of Cell 2.
,,2,3 s,Synchronous cells
,,3,3 s,Synchronous cells
T1,s,"1, 2, 3",5,
T2,s,"1, 2, 3",5,
