Parameter,,Unit,Cell 1,Cell 2,Cell 3
NR RF Channel Number,,,1,1,1
Positiong frequency layer,,,1,1,1
Correlation Matrix and Antenna Configuration,,,1x2 Low,1x2 Low,1x2 Low
OCNG patterns defined in A.3.2.1,,,OP.1,N/A,N/A
Note 3,Config 1,dBm/SCS,-98,,
,Config 2,dBm/SCS,-98,,
,Config 3,dBm/SCS,-95,,
PRS,,dB,-Infinity,-Infinity,-Infinity
SSB,,dB,10,-Infinity,-Infinity
Io Note 4,Config 1,dBm/19.08MHz,-56.54,-56.54,-56.54
,Config 2,dBm/19.08MHz,-56.54,-56.54,-56.54
,Config 3,dBm/47.88MHz,-52.56,-52.56,-52.56
SSB RP Note4,Config 1,dBm/SCS,-88,-Infinity,-Infinity
,Config 2,dBm/SCS,-88,-Infinity,-Infinity
,Config 3,dBm/SCS,-85,-Infinity,-Infinity
Propagation Condition,,,AWGN,,
Note 1: OCNG shall be used such that active cell (Cell 1) is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned after the end of time period T2 to UEs that do not support SDT for measurement reporting.Note 3: Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4: SSB RP and Io levels have been derived from other parameters and are given for information purpose. These are not settable test parameters.,,,,,
