Parameter,Unit,Test 1,Test 2,Comment
,,Value,,
NR RF Channel Number,,1,,1 NR carrier frequency is used in the test
LTE RF Channel Number,,2,,1 LTE carrier frequency is used in the test
Channel Bandwidth,MHz,As specified in tables A.6.6.3.2.1-2 and A.6.6.3.2.1-3.,,
Active cell,,Cell 1,,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,,Cell 2 is on RF channel number 2
NR measurement quantity,,SS-RSRP,,Measurement quantity for Cell 1
Inter-RAT E-UTRAN measurement quantity,,RSRP,,Measurement quantity for Cell 2
b2-Threshold1,dBm,Note 1,,SS-RSRP threshold for SS-RSRP measurement on cell1 for event B2
b2-Threshold2EUTRA,dBm,-95,,E-UTRAN RSRP threshold for RSRP measurement on cell 2 for event B2
Hysteresis,dB,0,,
TimeToTrigger,s,0,,
Filter coefficient,,0,,L3 filtering is not used
DRX,,OFF,,Non-DRX
T1,s,5,,
T2,s,5,,
NOTE 1:Values are defined in table A.6.6.3.2.1-3,,,,
