Configuration,Description
1,"15 kHz SSB and CSI-RS SCS, 10 MHz bandwidth, FDD duplex mode"
2,"15 kHz SSB and CSI-RS SCS, 10 MHz bandwidth, TDD duplex mode"
3,"30 kHz SSB and CSI-RS SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations.,
