Parameter,Unit,Test configuration,Cell 1,,Cell 2,,Cell 3,
,,,T1,T2,T1,T2,T1,T2
PDSCH RMC configuration,,,SR.1.1 FDD,,SR.1.3 FDD,,,
RMSI CORESET RMC configuration,,,CCR.1.1 FDD,,CCR.1.7 FDD,,,
Dedicated CORESET RMC configuration,,,CCR.1.1 FDD,,CCR.1.7 FDD,,,
OCNG Patterns,,,,,OP.1,,,
TRS Configuration,,,,,TRS.1.1 FDD,,,
IInitial BWP configuration,,,DLBWP.0.1 ULBWP.0.1,,,,,
Active DL BWP configuration,,,DLBWP.1.1,,,,,
Active UL BWP configuration,,1,ULBWP.1.1,,,,,
RLM-RS,,,SSB,,,,,
Note 2,dBm/SCS,,-98,,,,,
Note 2,dBm/15 kHz,,-98,,,,,
,dB,,4,4,-Infinity,-1.46,4,-1.46
,dB,,4,4,-Infinity,4,4,4
SS-RSRP Note 3,dBm/SCS,,-94,-94,-Infinity,-94,-94,-94
Io,dBm/9.36 MHz,,-64.60,-64.60,NA,NA,NA,NA
,dBm/2.7 MHz,,NA,NA,-70.00,-67.65,-70.00,-67.65
Propagation Condition,,,AWGN,,,,,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,
