Configuration,Description
1,"NR 15 kHz SRS SCS, 10 MHz bandwidth, TDD duplex mode"
2,"NR 30 kHz SRS SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations,
