Config,Description
1,FR1 FDD SSB SCS 15 kHz BW 10 MHz – LTE FDD 10 MHz
2,FR1 FDD SSB SCS 15 kHz BW 10 MHz – LTE TDD 10 MHz
3,FR1 TDD SSB SCS 30 kHz BW 40 MHz – LTE FDD 10 MHz
4,FR1 TDD SSB SCS 30 kHz BW 40 MHz – LTE TDD 10 MHz
NOTE 1:The UE is only required to be tested in one of the supported test configurations,
