Parameter,Unit,Test configuration,Value,Comment
,,,,
NR RF Channel Number,,Config 1,"1, 2",Two FR1 NR carrier frequencies are used in this test.
PCell,,Config 1,NR Cell 1 (PCell),NR Cell 1 is on NR RF channel number 1.
Deactivated PSCell,,Config 1,NR Cell 2,NR Cell 2 is on NR RF channel number 2.
measCyclePSCell,ms,Config 1,160,Same as SMTC and SSB periodicity
Gap Pattern Id,,Config 1,Not configured,
Measurement gap offset,,Config 1,Not configured,
SMTC parameters,,Config 1,SMTC.1 for PCCSMTC.2 for PSCC,As specified in clause A.3.10.1
CP length,,Config 1,Normal,
TimeToTrigger,s,Config 1,0,
Filter coefficient,,Config 1,0,L3 filtering is not used
DRX,,Config 1,OFF,DRX is not used
Time offset between cells,,Config 1,3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
T1,s,Config 1,5,
T2,s,Config 1,3,
