Parameter,Config,Unit,CSI-RS#0,,CSI-RS#1,
,,,T1,T2,T1,T2
Note2,1,dBm/CSI-RS SCS,-91.65,,,
,1,dB,0,0,-Infinity,3
CSI-RS RSRP Note3,1,dBm/CSI-RS SCS,-91.65,-91.65,-Infinity,-88.65
Io Note3,1,dBm/98.28 MHz,-54.48,-54.48,-57.49,-52.73
,1,dB,0,0,-Infinity,3
NOTE 1: The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3: SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
