Parameter,,Unit,Value,,Comment
,,,Test 1,Test 2,
Active cell,,,Cell 1,,
Neighbour cell,,,Cell 2,,Cell 2 is candidate cell
RF Channel Number,,,1: Cell 1 2: Cell 2,,
A3-Offset,,dB,-6,,
Hysteresis,,dB,0,,
Time To Trigger,,s,0,,
Filter coefficient,,,0,,L3 filtering is not used
maxNrofRS-IndexesToReport,,,1,,
includeBeamMeasurements,,,True,,
Time offset between cells,,s,2,20,
DRX,,,OFF,,
LTM-CSI-ReportConfig,L1-RSRP reporting period,slot,20,,Periodic L1-RSRP reporting configured
,nrOfReportedCells,,n1,,Report candidate cell’s (Cell 2) L1-RSRP measurement results
,nrOfReportedRS-PerCell,,n1,,
,spCellInclusion,,N/A,,
ltm-ConfigComplete,,,True,,Candidate cell’s configuration is complete configuration
T1,,s,0.3,,
T2,,s,0.5,,
