Parameter,Unit,Value,Comment
RF Channel Number,,"1, 2",Two radio channels are used for this test
Active PCell,,Cell 1,PCell on RF channel number 1 in FR1
PSCell,,Cell 2,PSCell on RF channel number 2 in LTE. Cell 2 is of higher priority.
DRX,,OFF,For both PCell and PSCell once configured
PRACH configuration in Cell 2,,PRACH_2CE,PRACH configuration as specified in clause A.3.16 in TS 36.133
T331,s,300,
CSI reporting periodicity and offset configuration for Cell 2,ms,2,
T1,s,0.5,During this time the PCell is known and PSCell is configured.
T2,s,0.5,PSCell access.
T3 + T4,s,66,During this time the UE is configured to perform inter-RAT measurements in idle mode on the PSCell carrier.
T5,s,0.5,UE is paged and connection is setup. Network requests measurement report from the UE.
