,Field,CLI-RSSIConf.1,CLI-RSSIConf.2
RSSI-Resource,rssi-ResourceId,0,0
,rssi-SCS,15,30
,startPRB,0,0
,nrofPRBs,52,106
,startPosition,3,3
,nrofSymbols,11,11
,rssi-PeriodicityAndOffset,"sl640, 4","sl640, 9"
