Parameter,Unit,Test configuration,Aggressor UE,
,,,T1,T2
Note 2,dBm/15 kHz,1,-98,
,,,,
Note 2,dBm/SCS,1,-95,
,,,,
,dB,1,-infinity,3
,,,,
,dB,1,-infinity,3
,,,,
SRS-RSRP Note 3,dBm/SCS kHz,1,-infinity,-92
,,,,
Io,dBm/98.28 MHz,1,-59.84,-55.08
,,,,
Propagation Condition,,1,AWGN,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SRS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,
