Parameter,Unit,Test configuration,Value,Comment
Serving cell,,"1, 2, 3, 4",Cell 1,The UE camps on Cell 1 which is the former PCell.
Neighbour cell,,"1, 2, 3, 4",Cell 2,The UE shall perform inter-RAT measurements on Cell 2 which is the former PSCell.
RF Channel Number,,"1, 2, 3, 4","1, 2",
Time offset between cells,,"1, 2, 3, 4",3 s,Synchronous cells
Access Barring Information,-,"1, 2, 3,4",Not Sent,No additional delays in random access procedure.
SSB configuration,,"1, 2",SSB.1 FR1,Serving cell
,,"3, 4",SSB.2 FR1,Serving cell
SMTC configuration Serving cell,,"1, 2, 3, 4",SMTC.2,
DRX cycle length,s,"1, 2, 3, 4",1.28,The value shall be used for all cells in the test.
PRACH configuration index,,"1, 2, 3, 4",190,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,"1, 2, 3, 4",Not configured,
T3,s,"1, 2, 3, 4",0.5,T3 needs to be defined so that cell measurement time is taken into account.
T4,s,"1, 2, 3, 4",65,T4 needs to be defined so that cell measurement time is taken into account.
