Parameter,,Unit,Test configuration,Value,,Comment
,,,,Test 1,Test 2,
Active cell,,,"1, 2, 3",Cell 1,,
Neighbour cell,,,"1, 2, 3",Cell 2,,Cell to be identified and measured.
A3-Offset,,dB,"1, 2, 3",-6,,
Hysteresis,,dB,"1, 2, 3",0,,
Time To Trigger,,ms,"1, 2, 3",0,,
Filter coefficient,,,"1, 2, 3",0,,L3 filtering is not used
DRX,,,"1, 2, 3",OFF,,DRX is not used
,,,"1, 2, 3",,,
,,,"1, 2, 3",,,
deriveSSB-IndexFromCell,,,,Enabled,,
,,,,,,
LTM-CSI-ReportConfig,L1-RSRP reporting period,Slot,,320,,
,nrOfReportedCells,,,n1,,
,nrOfReportedRS-PerCell,,,n1,,
,spCellInclusion,,,,,
eventLTM3-r19,ltm3-Offset-r19,,dB,4,,
,hysteresis-r19,,,0,,
,timeToTrigger-r19,,,0,,
,,,,,,
ltm-ConfigComplete,,,,True,,Candidate cell’s configuration is complete configuration
RF Channel Number,,,"1, 2, 3",1: Cell 1 and Cell 2,,
SSB configuration,,,1,SSB.1 FR1,,
,,,2,SSB.1 FR1,,
,,,3,SSB.2 FR1,,
SMTC configuration,,,1,SMTC.2,,
,,,2,SMTC.1,,
,,,3,SMTC.1,,
CSI-RS configuration for RRM,,,1,CSI-RS.RRM.FR1.1 FDD,,
,,,2,CSI-RS.RRM.FR1.1 TDD,,
,,,3,CSI-RS.RRM.FR1.2 TDD,,
A3-Offset,,dB,"1, 2, 3",-4.5,,
CP length,,,"1, 2, 3",Normal,,
Hysteresis,,dB,"1, 2, 3",0,,
Time To Trigger,,s,"1, 2, 3",0,,
Filter coefficient,,,"1, 2, 3",0,,L3 filtering is not used
DRX,,,"1, 2, 3",,,OFF
Time offset between serving and neighbour cells,,s,1,4.7,,The timing of Cell 2 is CP later than the timing of Cell 1.
,,,2,4.7,,
,,,3,2.35,,
T1,,s,"1, 2, 3",5,,
T2,,s,"1, 2, 3",2,,
