Parameter,Unit,Test configuration,Value,Comment
Active cell,,,Cell 1,PCell
Neighbour cell,,,Cell 2,Cell to be identified.
Deactivated SCell,,,Cell 3,Deactivated throughout the test.
RF Channel Number,,,1: Cell 1 2: Cell 2 and Cell 3,1: Cell 1 is PCell 2: Cell 2 is neighbouring cell to be detected
SSB configuration,,,SSB.1 FR1,Cell 1
,,,SSB.13 FR1,12 PRB Cell 2 and Cell 3
SMTC configuration,,,SMTC.2,Cell 1
,,,SMTC.1,Cell 2 and Cell 3
A3-Offset,dB,1,-4.5,
CP length,,,Normal,
Hysteresis,dB,,0,
Time To Trigger,s,,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,,OFF
measCycleScell,ms,,160ms,
Time offset between serving and neighbour cells,,,3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,,3 s,Synchronous cells
T1,s,,5,
T2,s,,5,
