Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3",Cell 1,
Configured deactivated cell,,"1, 2, 3",Cell 2,Cell to be identified.
RF Channel Number,,"1, 2, 3",1: Cell 1 and Cell 2,
SMTC configuration,,1,SMTC.2,
,,2,SMTC.1,
,,3,SMTC.1,
A1-Offset,dBm,"1, 2, 3",-99,
CP length,,"1, 2, 3",Normal,
Hysteresis,dB,"1, 2, 3",0,
Time To Trigger,s,"1, 2, 3",0,
Filter coefficient,,"1, 2, 3",0,L3 filtering is not used
DRX,,"1, 2, 3",,OFF
Time offset between serving and neighbour cells,,1,3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,2,3 s,Synchronous cells
,,3,3 s,Synchronous cells
T1,s,"1, 2, 3",5,
T2,s,"1, 2, 3",5,
