Operating band,EIS at 85th %-tile CCDF (dBm) / Channel bandwidth,,,,,,
,50 MHz,100 MHz,200MHz,400MHz,800MHz,1600MHz,2000MHz
n257,-89.5,-86.5,-83.5,-80.5,N/A,N/A,N/A
n258,-89.5,-86.5,-83.5,-80.5,N/A,N/A,N/A
n260,-86.5,-83.5,-80.5,-77.5,N/A,N/A,N/A
n261,-89.5,-86.5,-83.5,-80.5,N/A,N/A,N/A
n262,-84.3,-81.3,-78.3,-75.3,N/A,N/A,N/A
n263,N/A,-73.5,N/A,-67.5,-64.5,-61.5,-60.5
