Operating band,EIS at 60th %-tile CCDF (dBm) / Channel bandwidth,,,,,,
,50 MHz,100 MHz,200 MHz,400 MHz,800 MHz,1600 MHz,2000 MHz
n257,-81.0,-78.0,-75.0,-72.0,N.A,N.A,N.A
n258,-81.0,-78.0,-75.0,-72.0,N.A,N.A,N.A
n259,-76.2,-73.2,-70.2,-67.2,N.A,N.A,N.A
n261,-81.0,-78.0,-75.0,-72.0,N.A,N.A,N.A
n262,-74.9,-71.9,-68.9,-65.9,N.A,N.A,N.A
n263,N.A,-71.2,N.A,-65.2,-62.2,-59.2,-58.2
NOTE 1:The transmitter shall be set to PUMAX as defined in clause 6.2.4NOTE 2:The EIS spherical coverage requirements are verified only under normal thermal conditions as defined in Annex E.2.1.,,,,,,,
