Operating band,Min peak EIRP (dBm)
n257,34
n258,34
n260,31
n261,34
n262,28.3
NOTE 1:Minimum peak EIRP is defined as the lower limit without tolerance.NOTE 2:Min Peak EIRP refers to the total EIRP for the UL beams peaks.,
