Operating band,Min EIRP at 85 %-tile CDF (dBm)
n257,32.0
n258,32.0
n260,30.0
n261,32.0
n262,26.0
n263,19.1
NOTE 1:Minimum EIRP at 85 %-tile CDF is defined as the lower limit without tolerance in RRC_CONNECTEDNOTE 2:The requirements in this table are verified only under normal temperature conditions as defined in Annex E.2.1.NOTE 3:Minimum EIRP at 85%-tile CDF is defined as the lower limit minus 2 dB in initial access and RRC_INACTIVE,
