Operating band,Min EIRP at 60 %-tile CDF (dBm)
n257,18.0
n258,18.0
n259,12.5
n261,18.0
n262,11.0
n263,7.6
NOTE 1:Minimum EIRP at 60 %-tile CDF is defined as the lower limit without toleranceNOTE 2:The requirements in this table are verified only under normal temperature conditions as defined in Annex E.2.1.,
