Parameter,Unit,Level
UE EIRP,dBm,4
UE EIRP for UL 16 QAM,dBm,7
UE EIRP for UL 64 QAM,dBm,11
UE EIRP for UL 256 QAM,dBm,18
Operating conditions,,Normal conditions
