Operating Band,Uplink (UL) operating bandBS receiveUE transmit,,,Downlink (DL) operating bandBS transmit UE receive,,,Duplex Mode
,FUL_low   –   FUL_high,,,FDL_low   –   FDL_high,,,
n257,26500 MHz,–,29500 MHz,26500 MHz,–,29500 MHz,TDD
n258,24250 MHz,–,27500 MHz,24250 MHz,–,27500 MHz,TDD
n259,39500 MHz,–,43500 MHz,39500 MHz,–,43500 MHz,TDD
n260,37000 MHz,–,40000 MHz,37000 MHz,–,40000 MHz,TDD
n261,27500 MHz,–,28350 MHz,27500 MHz,–,28350 MHz,TDD
n262,47200 MHz,–,48200 MHz,47200 MHz,–,48200 MHz,TDD
n263,57000 MHz,–,71000 MHz,57000 MHz,–,71000 MHz,TDD1
NOTE 1: This band is for unlicensed operation and subject to regional and/or country specific regulatory requirements.,,,,,,,
