Operating band,Min EIRP at 20 %-tile CDF (dBm)
n257,25
n258,25
n260,19
n261,25
n262,16.2
NOTE 1:Minimum EIRP at 20 %-tile CDF is defined as the lower limit without toleranceNOTE 2:The requirements in this table are verified only under normal temperature conditions as defined in Annex E.2.1.,
