Rx Parameter,Units,Value
PInterferer,dBm,-25.0
Max. Power in LP-WUS transmission BW config,dBm,Pinterferer – ACS3 - 2.0 dB
BWInterferer,MHz,BWChannel
FInterferer (offset),MHz,BWChannel / -BWChannel
NOTE 1:The interferer consists of the Reference measurement channel specified in Annex A.3.3.2 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1 and set-up according to Annex C.NOTE 2:The absolute value of the interferer offset FInterferer (offset) shall be further adjusted to (CEIL(|FInterferer(offset)|/SCS) + 0.5)*SCS MHz with SCS the sub-carrier spacing of the wanted signal in MHz. Wanted and interferer signal have same SCS.NOTE 3:Defined in table 7.5M.2-1,,
