Band,"MBP,n (dB)","MBS,n (dB)"
n257,0.73,0.73
n258,0.6,0.7
n259,0.5,0.4
n260,0.51,0.41
n261,"0.52,4",0.74
n262,0.7,0.7
n263,1.0,1.0
Note 1:n260 peak and spherical relaxations are 0 dB for UE that exclusively supports n261+n260Note 2:n261 peak relaxation is 0 dB for UE that exclusively supports n261+n260Note 3:n257 peak and spherical relaxations are 0 dB for UE that exclusively supports n261+n257Note 4:n261 peak and spherical relaxations are 0 dB for UE that exclusively supports n261+n257,,
