,θ range (degree),ϕ range (degree)
Area-1,90 to 60,- 37.5 to + 37.5
Area-2,90 to 60,142.5to 217.5
"NOTE 1: When testing power class 6 UEs, DUT orientation can be determined according to the UE spherical coverage evaluation areas, not necessarily following default alignment in Figure J.1-2 or positioning guidelines in clause J.3.NOTE 2: High speed train deployment is expected to be w.r.t. the reference coordination system: θ = 90 (degree) corresponds to the ground plane the train is running on, and ϕ= 0 or 180 with θ = 90 are the train track directions.",,
