Frequency band(GHz),Spectrum emission limit (dBm),Measurement bandwidth
12.75 GHz ≤ f ≤ 2nd harmonic of the upper frequency edge of the UL operating band,-10 dBm,100 MHz
"87,5 MHz ≤ f ≤ 118 MHz",-54 dBm,100 kHz
174 MHz ≤ f ≤ 230 MHz,-54 dBm,100 kHz
470 MHz ≤ f ≤ 694 MHz,-54 dBm,100 kHz
