Operating band,Min EIRP at 50 %-tile CDF (dBm)
n257,11.5
n258,11.5
n259,5.8
n260,8
n261,11.5
NOTE 1:Minimum EIRP at 50 %-tile CDF is defined as the lower limit without toleranceNOTE 2:The requirements in this table are only applicable for UE which supports single band in FR2,
